@relation winequality-white

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute 'chlorides' numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute 'density' numeric
@attribute 'pH' numeric
@attribute 'sulphates' numeric
@attribute 'alcohol' numeric
@attribute 'quality' {4, 5, 6, 7, 8}

@data
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,8
6.9,0.3,0.33,4.1,0.035,26,155,0.9925,3.25,0.79,12.3,8
5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8
8,0.13,0.25,1.1,0.033,15,86,0.99044,2.98,0.39,11.2,8
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8
7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8
5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,8
6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,8
6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
8,0.44,0.49,9.1,0.031,46,151,0.9926,3.16,0.27,12.7,8
7,0.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4,8
6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,8
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,8
6.9,0.36,0.35,8.6,0.038,37,125,0.9916,3,0.32,12.4,8
7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,8
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8
6.6,0.29,0.31,3.9,0.027,39,96,0.99035,3.24,0.6,12.6,8
4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,8
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
6.5,0.26,0.31,3.6,0.03,36,92,0.99026,3.22,0.62,12.6,8
6.8,0.22,0.31,6.9,0.037,33,121,0.99176,3.02,0.39,11.9,8
6.6,0.16,0.36,1.1,0.031,27,93,0.98884,3.23,0.34,13.2,8
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8
7,0.23,0.36,7.1,0.028,31,104,0.9922,3.35,0.47,12.1,8
5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8
6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8
7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8
5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,8
3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8
6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
6.5,0.44,0.47,5.45,0.014,44,137,0.98984,3.13,0.32,13,8
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8
7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8
6.8,0.37,0.28,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,8
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8
7,0.36,0.32,10.5,0.045,35,135,0.9935,3.09,0.33,11.6,8
6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,8
5.8,0.315,0.27,1.55,0.026,15,70,0.98994,3.37,0.4,11.9,8
7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,8
7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8
8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,8
6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8
5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,8
7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,8
6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,8
6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
6.6,0.23,0.3,4.6,0.06,29,154,0.99142,3.23,0.49,12.2,8
6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,8
7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8
6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1,8
5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8
8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8
6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,8
4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,8
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8
5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,8
7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,8
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8
6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
7,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11,8
8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7
5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,7
6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7
5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,7
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,7
7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2,7
6.6,0.21,0.6,1.1,0.135,61,144,0.9927,3.12,0.39,9.3,7
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,7
7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7
7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,7
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7
6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13,7
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.133333,7
6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,7
6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7
6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7
6.3,0.1,0.24,6,0.039,25,107,0.99511,3.59,0.49,10.5,7
6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,7
5.8,0.3,0.42,1.1,0.036,19,113,0.98871,3.1,0.46,12.6,7
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
